,name,lat,lon,date,value,deaths,recovered,category
0,Afghanistan,33.7680065,66.2385139,2020-01-22,0,0,0,Afghanistan
14964,Kosovo,42.5869578,20.9021231,2020-01-22,0,0,0,Kosovo
10062,Paraguay,-23.3165935,-58.1693445,2020-01-22,0,0,0,Paraguay
15222,Botswana,-23.1681782,24.5928742,2020-01-22,0,0,0,Botswana
9288,Nicaragua,12.6090157,-85.2936911,2020-01-22,0,0,0,Nicaragua
10406,Portugal,40.0332629,-7.8896263,2020-01-22,0,0,0,Portugal
774,Austria,47.2000338,13.199959,2020-01-22,0,0,0,Austria
5418,Guatemala,15.6356088,-89.8988087,2020-01-22,0,0,0,Guatemala
15738,Sao Tome and Principe,0.8875498,6.9648718,2020-01-22,0,0,0,Sao Tome and Principe
172,Algeria,28.0000272,2.9999825,2020-01-22,0,0,0,Algeria
3268,Croatia,45.5643442,17.0118954,2020-01-22,0,0,0,Croatia
4386,Estonia,58.7523778,25.3319078,2020-01-22,0,0,0,Estonia
9632,Norway,64.5731537,11.52803643954819,2020-01-22,0,0,0,Norway
1720,Bosnia and Herzegovina,44.3053476,17.5961467,2020-01-22,0,0,0,Bosnia and Herzegovina
6192,Indonesia,-2.4833826,117.8902853,2020-01-22,0,0,0,Indonesia
11438,Singapore,1.357107,103.8194992,2020-01-22,0,0,0,Singapore
12298,Switzerland,46.7985624,8.2319736,2020-01-22,0,0,0,Switzerland
14190,Syria,34.6401861,39.0494106,2020-01-22,0,0,0,Syria
2494,Central African Republic,7.0323598,19.9981227,2020-01-22,0,0,0,Central African Republic
13416,US,39.7837304,-100.4458825,2020-01-22,1,0,0,US
688,Australia,-24.7761086,134.755,2020-01-22,0,0,0,Australia
3784,Djibouti,11.8145966,42.8453061,2020-01-22,0,0,0,Djibouti
12040,Sudan,14.5844444,29.4917691,2020-01-22,0,0,0,Sudan
8256,Mauritania,20.2540382,-9.2399263,2020-01-22,0,0,0,Mauritania
7482,Lebanon,33.8750629,35.843409,2020-01-22,0,0,0,Lebanon
3182,Cote d'Ivoire,7.9897371,-5.5679458,2020-01-22,0,0,0,Cote d'Ivoire
3010,Congo (Kinshasa),-2.9814344,23.8222636,2020-01-22,0,0,0,Congo (Kinshasa)
15480,Malawi,-13.2687204,33.9301963,2020-01-22,0,0,0,Malawi
1376,Belgium,50.6402809,4.6667145,2020-01-22,0,0,0,Belgium
11180,Senegal,14.4750607,-14.4529612,2020-01-22,0,0,0,Senegal
8342,Mauritius,-20.2759451,57.5703566,2020-01-22,0,0,0,Mauritius
7396,Latvia,56.8406494,24.7537645,2020-01-22,0,0,0,Latvia
14104,Mozambique,-19.302233,34.9144977,2020-01-22,0,0,0,Mozambique
4644,Fiji,-18.1239696,179.0122737,2020-01-22,0,0,0,Fiji
8686,Mongolia,46.8250388,103.8499736,2020-01-22,0,0,0,Mongolia
6794,Japan,36.5748441,139.2394179,2020-01-22,2,0,0,Japan
12728,Trinidad and Tobago,10.8677845,-60.9821067,2020-01-22,0,0,0,Trinidad and Tobago
7740,Lithuania,55.3500003,23.7499997,2020-01-22,0,0,0,Lithuania
7998,Malaysia,4.5693754,102.2656823,2020-01-22,0,0,0,Malaysia
12384,Taiwan*,23.9739374,120.9820179,2020-01-22,1,0,0,Taiwan*
