,countryCode3,gdp_year,gdp,countryCode
0,MCO,2018,185741.27999158698,MC
1,LIE,2016,165028.245029187,LI
2,LUX,2018,116639.88804711,LU
3,MAC,2018,87208.535912643,MO
4,BMU,2013,85748.0654143782,BM
5,CHE,2018,82796.54716312849,CH
6,NOR,2018,81697.2459836768,NO
7,CYM,2017,81124.5134794821,KY
8,IMN,2017,80989.17221145019,IM
9,IRL,2018,78806.431996268,IE
10,ISL,2018,73191.1163154337,IS
11,QAT,2018,68793.78443726139,QA
12,SGP,2018,64581.9440183954,SG
13,USA,2018,62794.5856522398,US
14,DNK,2018,61350.3479093986,DK
15,AUS,2018,57373.68668412809,AU
16,FRO,2016,55822.9147203438,FO
17,SWE,2018,54608.3602546906,SE
18,NLD,2018,53024.05921305309,NL
19,AUT,2018,51461.9547804677,AT
20,FIN,2018,50152.340141130306,FI
21,HKG,2018,48675.6164599767,HK
22,SMR,2017,48494.5514112427,SM
23,GRL,2016,48181.874188064,GL
24,DEU,2018,47603.0276328757,DE
25,BEL,2018,47518.636038891396,BE
26,CAN,2018,46232.989622696696,CA
27,ARE,2018,43004.9533584848,AE
28,GBR,2018,42943.9022698053,GB
29,AND,2018,42029.7627372989,AD
30,NZL,2018,41945.3316690932,NZ
31,ISR,2018,41715.0292840432,IL
32,FRA,2018,41463.644022703396,FR
33,JPN,2018,39289.9584346358,JP
34,VIR,2017,35938.0243875154,VI
35,GUM,2018,35712.5621350321,GU
36,ITA,2018,34483.2039992043,IT
37,KWT,2018,33994.4065667831,KW
38,BHS,2018,32217.871590084,BS
39,PRI,2018,31651.3481514031,PR
40,BRN,2018,31628.328791434902,BN
41,KOR,2018,31362.75147294,KR
42,ESP,2018,30370.8923252247,ES
43,MLT,2018,30098.2833099975,MT
44,CYP,2018,28689.6985789646,CY
45,TCA,2018,27142.2277976902,TC
46,SVN,2018,26123.9738694646,SI
47,ABW,2017,25630.266492206898,AW
48,BHR,2018,24050.7575053956,BH
49,PRT,2018,23407.906588796803,PT
50,SAU,2018,23338.9634580718,SA
51,EST,2018,23266.346271875096,EE
52,MNP,2018,23258.675855279398,MP
53,CZE,2018,23078.5734865691,CZ
54,GRC,2018,20324.2535641478,GR
55,CUW,2018,19567.8924351055,CW
56,SVK,2018,19442.705762069298,SK
57,KNA,2018,19275.4185126566,KN
58,LTU,2018,19153.4089860651,LT
59,BRB,2018,17949.2815054371,BB
60,LVA,2018,17860.6171980214,LV
61,URY,2018,17277.9701105496,UY
62,TTO,2018,17129.9130902577,TT
63,ATG,2018,16726.9808079479,AG
64,SYC,2018,16433.9352865158,SC
65,OMN,2018,16415.157278098897,OM
66,HUN,2018,16161.9805101918,HU
67,VEN,2014,16054.490513096202,VE
68,CHL,2018,15923.358737538101,CL
69,PLW,2018,15859.434857876799,PW
70,PAN,2018,15575.072548291499,PA
71,POL,2018,15420.911163429499,PL
72,HRV,2018,14909.6931860854,HR
73,PYF,2000,14323.820820245,PF
74,NCL,2000,12579.595105586399,NC
75,ROU,2018,12301.1864034302,RO
76,CRI,2018,12027.365882631599,CR
77,ARG,2018,11683.949621636299,AR
78,ASM,2018,11466.6907058505,AS
79,MYS,2018,11373.2330025676,MY
80,RUS,2018,11288.8784475021,RU
81,MUS,2018,11238.6903948961,MU
82,GRD,2018,10640.496760331,GD
83,LCA,2018,10566.0497458462,LC
84,MDV,2018,10330.615614094,MV
85,GNQ,2018,10261.7600116887,GQ
86,NRU,2018,9888.89359652993,NR
87,KAZ,2018,9812.60113654067,KZ
88,CHN,2018,9770.84708783314,CN
89,MEX,2018,9673.44367360619,MX
90,TUR,2018,9370.1763438282,TR
91,BGR,2018,9272.62930360848,BG
92,BRA,2018,8920.76210462979,BR
93,MNE,2018,8844.23698538056,ME
94,CUB,2018,8821.81889125004,CU
95,LBN,2018,8269.78767551923,LB
96,BWA,2018,8258.641665746909,BW
97,DOM,2018,8050.63160184635,DO
98,GAB,2018,7952.525892776509,GA
99,DMA,2018,7691.34509727878,DM
100,VCT,2018,7361.4009618002,VC
101,THA,2018,7273.563207320921,TH
102,SRB,2018,7246.73165586437,RS
103,LBY,2018,7241.70448113024,LY
104,TKM,2018,6966.63541063077,TM
105,PER,2018,6941.235847630121,PE
106,COL,2018,6667.7906995498,CO
107,ZAF,2018,6374.02819575944,ZA
108,ECU,2018,6344.87197850057,EC
109,BLR,2018,6289.93855308212,BY
110,FJI,2018,6266.96796528074,FJ
111,SUR,2018,6234.04492230646,SR
112,MKD,2018,6083.71894832148,MK
113,BIH,2018,6065.67270824158,BA
114,NAM,2018,5931.453886116171,NA
115,IRQ,2018,5834.166210760611,IQ
116,PRY,2018,5821.81432292324,PY
117,IRN,2017,5627.7492684545605,IR
118,JAM,2018,5354.2368587703,JM
119,ALB,2018,5268.84850355919,AL
120,GUY,2018,4979.00218839886,GY
121,BLZ,2018,4884.74242133376,BZ
122,AZE,2018,4721.17808673142,AZ
123,GEO,2018,4717.143025735771,GE
124,GTM,2018,4549.01008110721,GT
125,TON,2018,4364.01556134949,TO
126,XKX,2018,4302.27648252378,XK
127,JOR,2018,4241.78878213854,JO
128,ARM,2018,4212.0709427293705,AM
129,WSM,2018,4183.40793504696,WS
130,SWZ,2018,4145.97411168691,SZ
131,MNG,2018,4121.73243469391,MN
132,DZA,2018,4114.71506136896,DZ
133,LKA,2018,4102.481350144671,LK
